koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
22.7984,13.67904,1000.0,9.0,10.0,FALSE POSITIVE,Transit
1.68027,1.008162,1000.0,2.9,10.0,CANDIDATE,Transit
0.7099504,0.42597023999999994,1000.0,80.0,10.0,CANDIDATE,Transit
1.404411,0.8426466000000001,1000.0,99.0,10.0,FALSE POSITIVE,Transit
1.4044283,0.8426569799999999,1000.0,3.66,10.0,FALSE POSITIVE,Transit
3.400858,2.0405148,1000.0,14.1,10.0,CANDIDATE,Transit
3.4007758,2.04046548,1000.0,5.57,10.0,CANDIDATE,Transit
8.2758,4.96548,1000.0,10.2,10.0,FALSE POSITIVE,Transit
8.2766395,4.965983700000001,1000.0,0.724,10.0,FALSE POSITIVE,Transit
28.46762,17.080572,1000.0,37.0,10.0,CANDIDATE,Transit
28.465633,17.0793798,1000.0,18.4,10.0,CANDIDATE,Transit
83830.0,50298.0,1000.0,12.0,10.0,CANDIDATE,Transit
8.79689,5.278134,1000.0,4.85,10.0,CANDIDATE,Transit
1.153886,0.6923316,1000.0,99.0,10.0,CANDIDATE,Transit
1.6398934,0.9839360400000001,1000.0,33.0,10.0,CANDIDATE,Transit
1.486243,0.8917458,1000.0,58.0,10.0,FALSE POSITIVE,Transit
23.210585,13.926351,1000.0,5.7,10.0,CANDIDATE,Transit
23.21037,13.926222,1000.0,15.3,10.0,CANDIDATE,Transit
1.330023,0.7980137999999999,1000.0,44.0,10.0,CANDIDATE,Transit
50.73641,30.441846,1000.0,10.31,10.0,CANDIDATE,Transit
46.1373,27.682380000000002,1000.0,2.6,10.0,CANDIDATE,Transit
22.6398,13.58388,1000.0,1.27,10.0,CANDIDATE,Transit
24.193613,14.516167800000002,1000.0,30.7,10.0,CANDIDATE,Transit
2.784496,1.6706976,1000.0,2.09,10.0,CANDIDATE,Transit
10.2236,6.13416,1000.0,132.0,10.0,CANDIDATE,Transit
2.7518,1.6510799999999999,1000.0,0.669,10.0,CANDIDATE,Transit
23.277669,13.966601399999998,1000.0,32.8,10.0,CANDIDATE,Transit
24.6842,14.81052,1000.0,2.49,10.0,CANDIDATE,Transit
2.2,1.3200000000000003,1000.0,8.4,10.0,CANDIDATE,Transit
2.6454165,1.5872499000000002,1000.0,9.47,10.0,CANDIDATE,Transit
7.8392,4.70352,1000.0,1.46,10.0,CANDIDATE,Transit
2.320937,1.3925622,1000.0,15.7,10.0,CANDIDATE,Transit
1.94297,1.165782,1000.0,2.571,10.0,CANDIDATE,Transit
1.3178719,0.7907231400000001,1000.0,62.0,10.0,FALSE POSITIVE,Transit
1.3179,0.7907400000000001,1000.0,55.0,10.0,FALSE POSITIVE,Transit
46.38363,27.830178,1000.0,3.22,10.0,CANDIDATE,Transit
46.40651,27.843906,1000.0,3.35,10.0,CANDIDATE,Transit
16.56127,9.936762000000002,1000.0,0.957,10.0,CANDIDATE,Transit
16.563155,9.937892999999999,1000.0,1.66,10.0,CANDIDATE,Transit
18.357773,11.014663800000001,1000.0,1.74,10.0,CANDIDATE,Transit
18.3647,11.01882,1000.0,2.61,10.0,CANDIDATE,Transit
21.9184,13.15104,1000.0,3.18,10.0,CANDIDATE,Transit
49.8558,29.913480000000003,1000.0,3.29,10.0,CANDIDATE,Transit
4.9818921,2.98913526,1000.0,2.66,10.0,CANDIDATE,Transit
4.981838,2.9891028,1000.0,2.39347065,10.0,CANDIDATE,Transit
4.98205,2.98923,1000.0,2.3,10.0,CANDIDATE,Transit
4.9815,2.9889,1000.0,2.39,10.0,CANDIDATE,Transit
3.3055191,1.9833114600000004,1000.0,1.27,10.0,CANDIDATE,Transit
3.30524,1.9831440000000002,1000.0,6.6,10.0,CANDIDATE,Transit
8.0241306,4.81447836,1000.0,4.42,10.0,FALSE POSITIVE,Transit
8.02415,4.814490000000001,1000.0,194.0,10.0,FALSE POSITIVE,Transit
8.02335,4.814010000000001,1000.0,86.0,10.0,FALSE POSITIVE,Transit
11.31028,6.786168000000001,1000.0,18.9,10.0,CANDIDATE,Transit
11.31009,6.786054000000001,1000.0,130.0,10.0,CANDIDATE,Transit
16.63311,9.979866,1000.0,44.0,10.0,CANDIDATE,Transit
16.63237,9.979422000000001,1000.0,10.7,10.0,CANDIDATE,Transit
1.057171,0.6343026,1000.0,1.51,10.0,CANDIDATE,Transit
4.377326,2.6263956000000004,1000.0,27.0,10.0,FALSE POSITIVE,Transit
4.377339,2.6264034,1000.0,31.9,10.0,FALSE POSITIVE,Transit
4.3772986,2.62637916,1000.0,16.6,10.0,FALSE POSITIVE,Transit
0.980414,0.5882484,1000.0,1.58,10.0,CANDIDATE,Transit
0.98036126,0.588216756,1000.0,1.44,10.0,CANDIDATE,Transit
0.980294,0.5881764,1000.0,1.81,10.0,CANDIDATE,Transit
14.2005,8.5203,1000.0,2.36,10.0,CANDIDATE,Transit
28.8077,17.28462,1000.0,2.08,10.0,CANDIDATE,Transit
3.75927,2.2555620000000003,1000.0,68.0,10.0,CANDIDATE,Transit
2.41628,1.4497680000000002,1000.0,2.68,10.0,CANDIDATE,Transit
2.4165066,1.44990396,1000.0,0.988,10.0,CANDIDATE,Transit
4.4984354,2.6990612400000003,1000.0,3.12,10.0,CANDIDATE,Transit
0.3938505,0.23631030000000003,1000.0,13.7,10.0,CANDIDATE,Transit
2.3240489,1.3944293400000003,1000.0,33.4,10.0,CANDIDATE,Transit
1.86732,1.120392,1000.0,0.648,10.0,CANDIDATE,Transit
22.9735,13.784100000000002,1000.0,2.61,10.0,CANDIDATE,Transit
14.658196,8.794917600000002,1000.0,1.6,10.0,CANDIDATE,Transit
14.65835,8.795010000000001,1000.0,1.12,10.0,CANDIDATE,Transit
6.4349,3.8609400000000003,1000.0,2.47,10.0,CANDIDATE,Transit
4.27065,2.56239,1000.0,7.6,10.0,CANDIDATE,Transit
7.64309,4.585854,1000.0,8.0,10.0,CANDIDATE,Transit
16.858,10.1148,1000.0,5.6,10.0,CANDIDATE,Transit
2.167697,1.3006182000000002,1000.0,12.14,10.0,CANDIDATE,Transit
19.2299,11.53794,1000.0,1.96,10.0,CANDIDATE,Transit
5.07152,3.0429119999999994,1000.0,3.2,10.0,CANDIDATE,Transit
8.1191,4.87146,1000.0,57.0,10.0,CANDIDATE,Transit
16.235,9.741,1000.0,11.0,10.0,CANDIDATE,Transit
24.9922,14.995320000000001,1000.0,36.0,10.0,FALSE POSITIVE,Transit
4.20773,2.524638,1000.0,1.47,10.0,CANDIDATE,Transit
1.1761477,0.7056886200000001,1000.0,19.3,10.0,CANDIDATE,Transit
27.270191,16.3621146,1000.0,2.5,10.0,CANDIDATE,Transit
2.475527,1.4853162000000002,1000.0,42.0,10.0,CANDIDATE,Transit
2.475641,1.4853846000000002,1000.0,5.02277659,10.0,CANDIDATE,Transit
2.4756313,1.48537878,1000.0,2.48,10.0,CANDIDATE,Transit
2.475573,1.4853437999999999,1000.0,2.98,10.0,CANDIDATE,Transit
17.7256773,10.635406380000001,1000.0,15.4613,10.0,CANDIDATE,Transit
17.7259,10.63554,1000.0,23.4,10.0,CANDIDATE,Transit
17.725837,10.6355022,1000.0,6.63,10.0,CANDIDATE,Transit
17.72507,10.635042,1000.0,45.0,10.0,CANDIDATE,Transit
54.169832,32.501899200000004,1000.0,22.0,10.0,CANDIDATE,Transit
8.050722,4.830433200000001,1000.0,1.31,10.0,CONFIRMED,Transit
8.0516,4.830960000000001,1000.0,1.62,10.0,CONFIRMED,Transit
8.0468,4.82808,1000.0,1.18,10.0,CONFIRMED,Transit
6.79143,4.074858000000001,1000.0,1.72,10.0,CANDIDATE,Transit
14.353438,8.6120628,1000.0,2.159584,10.0,CANDIDATE,Transit
14.353347,8.6120082,1000.0,2.19,10.0,CANDIDATE,Transit
14.3533,8.61198,1000.0,2.18,10.0,CANDIDATE,Transit
1.88282,1.129692,1000.0,2.6,10.0,CANDIDATE,Transit
6.4756,3.8853600000000004,1000.0,1.85,10.0,CANDIDATE,Transit
2.31803,1.3908179999999999,1000.0,2.34,10.0,CANDIDATE,Transit
2.3181466,1.3908879600000001,1000.0,2.9,10.0,CANDIDATE,Transit
12.4292,7.457520000000001,1000.0,1.1126,10.0,FALSE POSITIVE,Transit
6.37733,3.826398,1000.0,0.76,10.0,CANDIDATE,Transit
19.44212,11.665272,1000.0,22.0,10.0,FALSE POSITIVE,Transit
19.441899,11.665139400000001,1000.0,4.15,10.0,FALSE POSITIVE,Transit
0.80032756,0.48019653600000006,1000.0,21.3,10.0,CANDIDATE,Transit
8.3958,5.03748,1000.0,3.95,10.0,CANDIDATE,Transit
12.2631,7.3578600000000005,1000.0,1.87,10.0,CANDIDATE,Transit
12.26422,7.358532,1000.0,2.22,10.0,CANDIDATE,Transit
12.263354,7.3580124,1000.0,2.16,10.0,CANDIDATE,Transit
10.3631,6.21786,1000.0,1.64,10.0,CANDIDATE,Transit
4.50717,2.704302,1000.0,1.44,10.0,CONFIRMED,Transit
4.50756,2.704536,1000.0,1.7,10.0,CONFIRMED,Transit
0.911724,0.5470344,1000.0,1.4,10.0,CONFIRMED,Transit
0.9116567,0.5469940200000001,1000.0,1.35,10.0,CONFIRMED,Transit
0.911618,0.5469708000000001,1000.0,1.16,10.0,CONFIRMED,Transit
14.641541,8.7849246,1000.0,2.94,10.0,CONFIRMED,Transit
