koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
41.8059544,6.057,434.4,2.02,28.3,CONFIRMED
15.45158184,2.406,85.3,2.02,21.0,FALSE POSITIVE
4.77800306,2.7361,473.0,1.85,115.4,CONFIRMED
7.814839231,3.0122,2010.3,5.33,100.0,FALSE POSITIVE
5.32667299,3.4045,611.4,2.26,34.1,CONFIRMED
0.741057213,1.05299,1996.3,26.67,251.9,FALSE POSITIVE
2.988085455,3.68,802.8,21.81,48.2,FALSE POSITIVE
0.393727296,3.02,903.5,23.05,82.4,FALSE POSITIVE
8.17242644,3.902,864.3,3.29,37.0,CONFIRMED
13.0607936,3.215,236.6,1.45,19.4,CONFIRMED
4.2989201,2.747,237.6,2.12,20.0,CANDIDATE
25.9518461,14.581,1058.5,22.32,65.8,FALSE POSITIVE
25.9518536,14.755,2017.9,24.6,79.4,FALSE POSITIVE
15.663886949,2.4775,5144.4,27.36,175.9,FALSE POSITIVE
2.897432135,3.1793,1223.7,14.35,73.9,FALSE POSITIVE
8.70420525,2.9385,1074.9,2.86,74.0,CONFIRMED
8.1280933,3.727,224.1,1.39,10.7,CONFIRMED
2.83668931,3.031,166.1,1.19,12.1,CANDIDATE
0.974868896,1.6191,197.6,1.16,82.6,CONFIRMED
4.89721006,1.812,274.4,1.48,16.9,CONFIRMED
3.98216698,2.396,381.3,3.32,27.1,FALSE POSITIVE
0.643794198,1.5662,456.7,19.51,53.7,FALSE POSITIVE
16.08832318,5.731,597.8,3.42,31.3,CONFIRMED
10.30067919,4.885,271.8,2.2,16.4,CONFIRMED
35.6757453,7.381,471.2,3.02,18.5,CONFIRMED
16.56806842,4.2647,1331.4,2.54,41.9,CONFIRMED
47.3329299,2.708,931.5,2.18,14.0,CONFIRMED
0.856895349,1.3078,82.2,0.82,33.1,FALSE POSITIVE
40.8065333,13.135,313.9,3.71,54.8,CONFIRMED
2.46697039,1.6345,308.7,1.56,29.5,CONFIRMED
6.61836309,3.6813,549.1,2.98,31.5,CONFIRMED
107.7214092,8.042,1396.2,4.75,30.5,CONFIRMED
92.77779,6.64,359.0,1.92,5.2,CANDIDATE
9.673958488,3.2641,952.7,2.63,178.0,CONFIRMED
0.986620248,3.9722,1345.8,43.98,117.7,FALSE POSITIVE
14.12847677,3.685,628.7,2.73,23.0,CONFIRMED
48.6478543,5.464,641.8,4.14,12.2,CONFIRMED
8.39842977,6.344,340.1,2.0,28.0,CONFIRMED
8.63847391,5.4566,395.9,5.99,38.6,CONFIRMED
3.4815917,1.8069,135.2,1.17,23.4,CONFIRMED
1.838514968,2.7391,2721.7,4.86,63.7,FALSE POSITIVE
35.61760233,8.4559,4634.9,5.17,155.0,CONFIRMED
1.09206833,1.8596,219.2,1.29,45.5,FALSE POSITIVE
10.12805158,3.517,477.4,1.95,38.0,CONFIRMED
1.613001111,2.394,104.1,1.25,19.3,FALSE POSITIVE
1.343767797,1.9405,4702.6,18.66,269.8,FALSE POSITIVE
31.82814583,2.917,4456.8,35.8,78.7,FALSE POSITIVE
3.629442796,5.63,426.6,3.28,76.4,FALSE POSITIVE
5.72812616,2.0295,643.4,1.38,20.8,CONFIRMED
3.75574267,2.2911,417.4,1.58,27.9,CONFIRMED
7.44042933,2.991,547.3,2.74,34.0,FALSE POSITIVE
6.581477136,3.0896,2318.9,4.56,116.2,CONFIRMED
2.382652873,1.8888,705.4,2.74,45.5,CONFIRMED
24.66461416,2.8579,2398.8,5.34,56.7,CONFIRMED
11.51517167,2.006,1357.4,2.9,53.2,CONFIRMED
30.6113932,3.576,3472.0,19.68,37.5,FALSE POSITIVE
7.40742502,3.675,442.0,2.01,23.1,CONFIRMED
5.09246539,3.659,254.0,1.17,17.1,FALSE POSITIVE
1.103971357,0.926,317.9,1.37,21.7,FALSE POSITIVE
3.353732008,1.4598,1264.7,1.65,47.8,CONFIRMED
6.877446033,1.3692,1632.3,2.05,39.6,CONFIRMED
28.46464804,2.6657,1629.8,1.87,28.9,CONFIRMED
0.293630085,2.3857,2017.7,26.35,170.0,FALSE POSITIVE
42.89645024,5.6897,555.3,2.0,66.8,CONFIRMED
2.44199803,2.759,251.7,1.44,27.2,FALSE POSITIVE
30.5872153,5.3698,464.8,2.32,33.1,CANDIDATE
7.09712124,2.1059,369.5,0.74,18.3,CONFIRMED
